,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position,teamName,opponent,Date
15,4,151,2,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-211,9540,23,234,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Aston Villa,2023-12-09
16,4,161,5,0,True,2023-12-17T14:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-274,9259,16,290,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Brighton,2023-12-17
0,5,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.02,50,0,2743150,0,0,Gabriel,Arsenal,2,Defender,Arsenal,Nott'm Forest,2023-08-12
1,5,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,5,13.0,0.0,0.0,1.3,0,0.00,0.00,0.00,0.73,50,-223848,2639445,61796,285644,Gabriel,Arsenal,2,Defender,Arsenal,Crystal Palace,2023-08-21
2,5,21,10,0,True,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-621417,2040170,36142,657559,Gabriel,Arsenal,2,Defender,Arsenal,Fulham,2023-08-26
3,5,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,21.2,2.2,0.0,2.3,1,0.00,0.01,0.01,0.96,48,-595383,1453168,13908,609291,Gabriel,Arsenal,2,Defender,Arsenal,Man Utd,2023-09-03
4,5,43,9,5,False,2023-09-17T15:30:00Z,0,1,5,90,0,0,1,0,0,0,0,1,0,0,0,23,19.6,4.2,0.0,2.4,1,0.00,0.02,0.02,0.30,48,-128729,1350616,32915,161644,Gabriel,Arsenal,2,Defender,Arsenal,Everton,2023-09-17
5,5,51,18,1,True,2023-09-24T13:00:00Z,2,2,6,90,0,0,0,2,0,0,0,0,0,0,0,11,7.8,1.7,8.0,1.8,1,0.07,0.01,0.08,1.50,48,-62499,1293725,21035,83534,Gabriel,Arsenal,2,Defender,Arsenal,Spurs,2023-09-24
6,5,62,3,6,False,2023-09-30T14:00:00Z,0,4,7,90,0,0,1,0,0,0,0,0,0,0,0,25,24.8,0.3,0.0,2.5,1,0.00,0.00,0.00,0.69,47,-21721,1281517,54236,75957,Gabriel,Arsenal,2,Defender,Arsenal,Bournemouth,2023-09-30
7,5,71,13,8,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,2,27,11.2,1.3,0.0,1.3,1,0.00,0.00,0.00,0.55,47,-49011,1226108,80932,129943,Gabriel,Arsenal,2,Defender,Arsenal,Man City,2023-10-08
8,5,84,7,1,False,2023-10-21T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,2.1,17.0,3.0,1,0.13,0.01,0.14,1.36,47,61588,1303504,106197,44609,Gabriel,Arsenal,2,Defender,Arsenal,Chelsea,2023-10-21
9,5,91,17,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,228872,1541268,270867,41995,Gabriel,Arsenal,2,Defender,Arsenal,Sheffield Utd,2023-10-28
